Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,11,0.0,100.0,0.0,15.017112792528547,0.0,0.5110388868102127,0.6968734997372267,0,11
200,11,0.0,100.0,0.0,15.017112792528547,0.0,0.5110388868102127,0.6968734997372267,0,11
300,11,0.0,100.0,0.0,15.017112792528547,0.0,0.5110388868102127,0.6968734997372267,0,11
400,11,0.0,100.0,0.0,15.017112792528547,0.0,0.5110388868102127,0.6968734997372267,0,11
500,31,41.935483870967744,58.064516129032256,0.0,15.38000849117697,0.5433418752583206,0.5044155052868576,0.7034504687363872,0,31
600,51,0.0,100.0,0.0,15.32317962589196,0.0,0.4964555141134383,0.7223500257342025,1,50
700,81,0.0,100.0,0.0,15.330747588079433,0.01927304213186791,0.5038869358014372,0.7120662804299257,1,79
800,81,0.0,100.0,0.0,15.330747588079433,0.0,0.5038842613805216,0.7120682461954366,1,79
900,81,0.0,100.0,0.0,15.330747588079433,0.0,0.5038828758452458,0.7120692644173323,1,79
1000,80,0.0,100.0,0.0,15.327703396733773,0.0,0.5044574486782629,0.7105484009137915,1,78
1100,80,0.0,100.0,0.0,15.327703396733773,0.0,0.5044362416626552,0.7105639706896275,1,78
1200,80,0.0,100.0,0.0,15.327703396733773,0.0,0.5044362416626552,0.7105639706896275,1,78
1300,80,0.0,100.0,0.0,15.327703396733773,0.0,0.5044362416626552,0.7105639706896275,1,78
1400,100,0.0,100.0,0.0,15.374392338216465,0.0,0.5015926477322636,0.71741607309569,1,98
1500,121,1.6528925619834711,98.34710743801652,0.0,15.406746842603482,0.11726159482225143,0.4999146394953992,0.7196110965750213,1,119
1600,121,0.0,100.0,0.0,15.406466052141129,0.0,0.49991463949600723,0.7196110965572773,1,119
1700,121,0.0,100.0,0.0,15.406466052141129,0.0,0.49991463949600723,0.7196110965572773,1,119
1800,121,0.0,100.0,0.0,15.406466052141129,0.0,0.49991463949600723,0.7196110965572773,1,119
1900,121,0.0,100.0,0.0,15.406466052141129,0.0,0.49991463949600723,0.7196110965572773,1,119
2000,121,0.0,100.0,0.0,15.406466052141129,0.0,0.49991463949600723,0.7196110965572773,1,119
